epoch,train loss,train acc,test loss,test acc
144,2.308809566,39.32,2.381874764,39.06
145,2.315486074,39.666,2.417118765,38.15
146,2.311670035,39.694,2.41614811,38.49
147,2.306533812,39.734,2.380984819,38.85
148,2.30406076,39.718,2.363011815,39.67
149,2.300525058,39.638,2.364724612,39.65
150,2.221591224,41.366,2.318140008,40.45
151,2.213238418,41.906,2.309509602,40.69
152,2.207939237,41.876,2.311165869,40.79
153,2.199155384,41.8,2.311527494,40.65
154,2.202650971,41.724,2.30757723,40.82
155,2.198734533,41.882,2.30345609,40.87
156,2.194549112,41.938,2.308152269,40.69
157,2.199068436,42.24,2.302539462,40.81
158,2.198608702,41.936,2.307061244,40.79
159,2.192643676,41.952,2.303832791,40.76
160,2.196256929,42.158,2.303660572,40.8
161,2.19583037,42.014,2.304081907,40.4
162,2.189066206,42.31,2.303408316,40.74
163,2.195961243,42.166,2.303846092,40.78
164,2.194225227,42.166,2.301118365,40.95
165,2.187680227,42.194,2.301336647,40.69
166,2.189511141,42.308,2.301910433,40.62
167,2.183516228,42.34,2.297709885,40.96
168,2.192143703,42.12,2.296214349,40.72
169,2.191049926,42.016,2.300725938,40.87
170,2.185295357,42.096,2.300681796,40.68
171,2.182405474,42.276,2.299446508,40.85
172,2.182099781,42.566,2.300899189,40.83
173,2.183425589,42.048,2.301818855,40.97
174,2.178339184,42.506,2.299983762,40.81
175,2.197957982,42.138,2.300596584,40.66
176,2.183605991,42.46,2.297909764,40.92
177,2.184429352,42.25,2.298827722,40.85
178,2.183957117,42.192,2.29764833,40.84
179,2.184289092,42.39,2.297409668,40.85
180,2.184073844,42.28,2.295158853,40.77
181,2.183622802,42.424,2.300425078,40.62
182,2.180783483,42.594,2.298363433,40.85
183,2.176446576,42.378,2.293207971,40.79
184,2.184163291,42.656,2.295954303,40.9
185,2.176175831,42.42,2.296094866,40.88
186,2.175229171,42.492,2.295445572,41
187,2.176576082,42.308,2.297458301,40.87
188,2.182043049,42.248,2.297968359,40.7
189,2.175976473,42.37,2.291492307,40.61
190,2.177166745,42.51,2.294978454,40.82
191,2.179708197,42.504,2.294876193,40.89
192,2.16811311,42.428,2.291669252,40.9
193,2.18029502,42.418,2.291385624,40.83
194,2.177908529,42.174,2.294215928,41.01
195,2.169332044,42.546,2.29109226,40.86
196,2.174596493,42.408,2.28958123,40.97
197,2.176978736,42.5,2.292220397,41.01
198,2.168857235,42.784,2.295421635,40.85
199,2.16761056,42.658,2.295579637,40.9
