iteration,train loss,train acc,test loss,test acc
165,4.566326618,0,4.51493597,0
166,4.60807991,0,4.469339848,0
167,4.56871748,0,4.501101494,3.125
168,4.657767296,0,4.570658207,3.125
169,4.626638412,6.25,4.475500107,0
170,4.671657085,0,4.541604519,0
171,4.597951889,3.125,4.495714664,0
172,4.651786804,0,4.512528896,0
173,4.602530003,3.125,4.486028671,0
174,4.632836342,0,4.485343933,3.125
175,4.592832565,6.25,4.482057571,0
176,4.630155087,3.125,4.475484371,3.125
177,4.663475513,0,4.623412609,0
178,4.609256744,0,4.603662014,3.125
179,4.666680336,0,4.509824753,3.125
180,4.648570538,0,4.600880146,0
181,4.584397316,3.125,4.585359097,0
182,4.579483509,0,4.590620995,0
183,4.60881567,6.25,4.468572617,0
184,4.613680363,0,4.497796059,3.125
185,4.604913712,3.125,4.497896671,0
186,4.648698807,0,4.591367245,0
187,4.648171902,0,4.443798065,3.125
188,4.591047287,0,4.555039883,0
189,4.59574461,3.125,4.489059448,6.25
190,4.57766819,0,4.550353527,3.125
191,4.55367136,3.125,4.495764256,0
192,4.666698933,0,4.654737473,0
193,4.628261089,0,4.555380821,0
194,4.642098427,0,4.552593231,0
195,4.67468071,3.125,4.432310104,0
196,4.590792656,0,4.583964348,0
197,4.603482246,3.125,4.459849358,0
198,4.61868763,0,4.513279438,0
199,4.624122143,6.25,4.71581459,0
200,4.579982758,0,4.53260994,3.125
201,4.608656406,0,4.540256977,0
202,4.620575905,0,4.632626534,0
203,4.590587139,3.125,4.640109062,0
204,4.576329708,0,4.513138294,6.25
205,4.614242554,0,4.598734856,0
206,4.611819267,0,4.550387859,0
207,4.668796539,0,4.571179867,3.125
208,4.621123791,0,4.498605728,0
209,4.618787289,0,4.507429123,0
210,4.656765461,0,4.563673019,0
211,4.656004429,0,4.589707851,0
212,4.648360729,0,4.437496185,0
213,4.565464973,0,4.624195099,0
214,4.629272938,0,4.464633942,0
215,4.653913975,0,4.510220051,0
216,4.635753155,0,4.618863583,0
217,4.590515614,0,4.459248066,0
218,4.549864769,0,4.524864674,0
219,4.656493664,3.125,4.55946064,0
220,4.574783325,0,4.598803997,0
221,4.651968002,3.125,4.597974777,0
222,4.603833199,0,4.462763309,0
223,4.643136024,0,4.608325005,0
224,4.617656708,0,4.579555035,3.125
225,4.587888241,0,4.495545387,6.25
226,4.636033535,0,4.518490791,0
227,4.582055092,0,4.472692966,0
228,4.608832359,0,4.507406235,0
229,4.639046192,3.125,4.553081036,0
230,4.560177326,0,4.508435726,0
231,4.591785908,6.25,4.568934917,3.125
232,4.6211586,0,4.57045126,0
233,4.611841202,0,4.57060957,0
234,4.633196831,0,4.5626297,0
235,4.599862099,0,4.654841423,0
236,4.654166698,3.125,4.592973709,0
237,4.596073627,0,4.5706954,0
238,4.56408596,3.125,4.531991482,3.125
239,4.643735409,0,4.520462513,0
240,4.54075861,0,4.543855667,0
241,4.652587414,0,4.617918968,0
242,4.606903553,0,4.382405758,6.25
243,4.594414711,0,4.496047974,3.125
244,4.621490479,0,4.617657661,0
245,4.670906544,3.125,4.543429852,0
246,4.589295387,0,4.613227367,3.125
247,4.643029213,0,4.68226099,0
248,4.605565548,0,4.5995121,3.125
249,4.612277031,0,4.574278355,0
250,4.720351219,0,4.5414958,0
251,4.631804943,3.125,4.468494415,0
252,4.588163853,0,4.45923233,0
253,4.570048332,0,4.531446457,0
254,4.599168777,3.125,4.54411459,0
255,4.614398956,0,4.603254318,0
256,4.625664234,0,4.468834877,0
257,4.551373959,3.125,4.3605299,9.375
258,4.817647934,0,4.506095409,0
259,4.669227123,0,4.473700523,3.125
260,4.686899185,6.25,4.535989761,0
261,4.584073067,3.125,4.597492695,0
262,4.677368641,3.125,4.56456995,0
263,4.623956203,0,4.527391434,0
264,4.62796545,0,4.532008648,6.25
265,4.56832695,0,4.536173344,0
266,4.582760811,3.125,4.58165884,0
267,4.629745007,0,4.537846565,3.125
268,4.608153343,0,4.57508564,0
269,4.637469292,0,4.60234642,0
270,4.692034245,0,4.522131443,3.125
271,4.622396469,0,4.513977528,9.375
272,4.683911324,3.125,4.558001518,6.25
273,4.557509422,0,4.517325401,0
274,4.56042099,3.125,4.631984234,0
275,4.564686298,6.25,4.536570072,3.125
276,4.561510563,3.125,4.545159817,0
277,4.614291668,0,4.575801373,0
278,4.625898838,0,4.516756535,6.25
279,4.713099957,0,4.455790997,0
280,4.620744705,0,4.523471832,0
281,4.655930042,0,4.483389854,3.125
282,4.634684563,0,4.531719685,0
283,4.581208229,0,4.5718503,0
284,4.673666,0,4.443439484,0
285,4.574324608,0,4.510018826,3.125
286,4.608921528,3.125,4.43920517,0
287,4.619293213,0,4.511071205,0
288,4.623942375,0,4.680593491,3.125
289,4.65254879,0,4.512450218,0
290,4.555364132,0,4.528100967,3.125
291,4.58568716,0,4.517444611,3.125
292,4.664436817,3.125,4.527291775,3.125
293,4.653995991,0,4.472544193,0
294,4.66623354,0,4.677203655,0
295,4.605807304,0,4.560852528,0
296,4.664351463,0,4.554830074,6.25
297,4.64162302,0,4.502304554,0
298,4.639007092,0,4.559423923,3.125
299,4.540712357,0,4.43768692,3.125
300,4.666608334,0,4.502291679,9.375
301,4.687425613,0,4.549966335,0
302,4.659770966,6.25,4.438660622,9.375
303,4.673193455,0,4.51238203,0
304,4.586383343,6.25,4.60476923,0
305,4.644244194,0,4.556725979,3.125
306,4.597624302,3.125,4.489734173,3.125
307,4.598213673,0,4.577562332,0
308,4.640501976,0,4.458289623,3.125
309,4.672370911,0,4.505568504,0
310,4.623203278,0,4.486706734,0
311,4.622124195,0,4.559975624,0
312,4.600703716,3.125,4.650555611,0
313,4.601298809,0,4.59017992,0
314,4.592161179,3.125,4.683244705,6.25
315,4.682929993,0,4.316087723,6.25
316,4.632635117,3.125,4.521919727,3.125
317,4.597797394,0,4.403543472,3.125
318,4.614376545,0,4.547123432,0
319,4.604160309,0,4.414521694,3.125
320,4.639894009,0,4.4024086,6.25
321,4.628912926,3.125,4.737951279,3.125
322,4.629174232,0,4.58729744,3.125
323,4.543607712,6.25,4.438375473,3.125
324,4.640913963,0,4.540067196,0
325,4.6515975,0,4.392193794,3.125
326,4.646511555,0,4.196390152,3.125
327,4.650436878,3.125,4.40628767,0
328,4.670702934,0,4.17180109,12.5
329,4.558103085,0,4.47503376,0
330,4.591647148,3.125,4.428777695,0
331,4.54608345,3.125,4.446923733,0
332,4.599279881,6.25,4.626669884,0
333,4.582329273,0,4.325655937,9.375
334,4.591072559,0,4.680659294,3.125
335,4.631645203,0,4.609509468,0
336,4.607537746,0,4.411635399,6.25
337,4.569702148,0,4.342686653,0
338,4.585831165,0,4.531564236,3.125
339,4.593617439,3.125,4.610053062,3.125
340,4.637814045,0,4.25282383,3.125
341,4.586888313,0,4.576504707,0
342,4.63578558,0,4.187529087,3.125
343,4.60669899,3.125,4.412018299,0
344,4.690649033,0,4.609217644,0
345,4.645213604,3.125,4.460566044,3.125
346,4.580070972,3.125,4.057754993,9.375
347,4.635386944,0,4.373414993,0
348,4.533608913,9.375,4.23307991,3.125
349,4.68320322,0,4.7133255,0
350,4.647775173,0,4.402036667,0
351,4.619793892,0,4.349978924,3.125
352,4.669359207,0,4.40004921,0
353,4.536900043,3.125,4.440541267,3.125
354,4.643029213,0,4.58009243,3.125
355,4.63888979,0,4.424512863,3.125
356,4.579522133,0,4.427714348,3.125
357,4.616083145,0,4.450520039,0
358,4.570359707,0,4.440258026,0
359,4.657307625,0,4.420944691,0
360,4.683351517,3.125,4.583263397,6.25
361,4.642810822,0,4.284313679,6.25
362,4.596896172,0,4.412822723,6.25
363,4.65580225,0,4.348707199,3.125
364,4.615757942,0,4.261752129,0
365,4.601298809,3.125,4.298964024,0
366,4.671112061,0,4.382397652,3.125
367,4.676599979,0,4.372053623,3.125
368,4.67670536,0,4.382832527,3.125
369,4.57374382,0,4.239887238,0
370,4.598528862,0,5.269228458,3.125
371,4.562963486,0,4.32423687,6.25
372,4.63079071,3.125,4.44130373,0
373,4.585792542,0,4.594409466,0
374,4.565336704,3.125,4.31977272,6.25
375,4.577349663,3.125,4.538275242,3.125
376,4.645903111,0,4.310155869,0
377,4.622858047,0,4.786474705,3.125
378,4.564229965,0,4.607466221,3.125
379,4.607783318,0,4.383138657,0
380,4.629331589,0,4.446700096,0
381,4.599106789,6.25,4.182089329,3.125
382,4.684573174,0,4.037796021,6.25
383,4.540228844,0,4.393547535,0
384,4.604454994,0,4.547436714,0
385,4.604029179,0,4.145629406,6.25
386,4.544991016,0,4.387874603,6.25
387,4.619132996,0,4.423123837,3.125
388,4.611267567,0,4.291305065,3.125
389,4.590876579,3.125,4.487432957,0
390,4.687380791,3.125,4.459880829,3.125
391,4.677584648,0,4.526502132,0
392,4.676790237,0,4.401850224,0
393,4.657222271,0,4.638630867,3.125
394,4.591211796,0,4.750517368,0
395,4.706315041,3.125,4.57250452,3.125
396,4.593969822,0,4.475866795,0
397,4.561510563,0,4.604446888,0
398,4.694046497,3.125,4.365418434,3.125
399,4.588967323,0,4.452953339,3.125
400,4.647429466,0,4.385174751,6.25
401,4.53811121,6.25,4.396130085,6.25
402,4.660404205,0,4.338736057,6.25
403,4.545791149,3.125,4.258094311,6.25
404,4.57648325,0,4.241753101,3.125
405,4.504805088,3.125,4.40523243,0
406,4.686314106,0,4.559487343,3.125
407,4.564891338,0,4.449401855,3.125
408,4.546186447,3.125,4.379468441,3.125
409,4.572647572,0,4.373195171,0
410,4.626441002,0,4.392626762,0
411,4.590919018,0,4.482681274,0
412,4.589597702,3.125,4.809213638,6.25
413,4.637803078,0,4.534757137,6.25
414,4.625421524,0,4.411989212,0
415,4.593211651,0,4.467940331,0
416,4.646914482,0,4.352439404,3.125
417,4.629625797,0,4.554490089,0
418,4.641347885,0,4.196845055,6.25
419,4.592891216,0,4.363349915,3.125
420,4.608309269,0,4.659184456,0
421,4.685112,0,4.385575771,0
422,4.608054161,3.125,4.262658596,3.125
423,4.640836716,3.125,4.384963512,3.125
424,4.594744682,0,4.68269825,3.125
425,4.63526392,0,4.48402071,3.125
426,4.610686779,0,4.39586544,0
427,4.657913208,0,4.321012974,6.25
428,4.627768517,0,4.480203152,0
429,4.59760046,0,4.557118893,6.25
430,4.637815952,0,4.443763256,0
431,4.619999886,3.125,4.330640793,3.125
432,4.660458565,0,4.262928009,0
433,4.635184765,0,4.419426441,0
434,4.647262096,0,4.056680679,6.25
435,4.687404156,0,4.242661476,0
436,4.625583649,0,4.329912186,0
437,4.617539883,0,4.208374977,6.25
438,4.625261784,3.125,4.628911495,0
439,4.619615078,0,4.354871273,3.125
440,4.664469242,0,4.424539089,3.125
441,4.563954353,6.25,4.42906189,0
442,4.597565174,0,4.562960625,0
443,4.644209385,0,4.375371933,6.25
444,4.666974068,0,4.543414593,3.125
445,4.547945976,0,4.290986061,3.125
446,4.615044594,0,4.484358788,3.125
447,4.678668499,3.125,4.632078648,0
448,4.613665581,0,4.42544508,3.125
449,4.613217354,0,4.244152546,3.125
450,4.544885635,3.125,4.897371769,6.25
451,4.655993462,0,4.348978996,6.25
452,4.599418163,0,4.25470686,6.25
453,4.601305962,0,4.411335945,6.25
454,4.584163666,0,4.330950737,3.125
455,4.687196732,0,4.276273251,0
456,4.612137794,0,4.304860592,6.25
457,4.576720715,0,4.220600128,3.125
458,4.673886299,0,4.354942799,3.125
459,4.612594128,0,4.227857113,3.125
460,4.677145481,0,4.41299057,6.25
461,4.647916317,0,4.405603409,3.125
462,4.651953697,0,4.345185757,3.125
463,4.664890766,9.375,4.486103535,3.125
464,4.561702728,0,4.245778084,3.125
465,4.596244335,3.125,4.232390404,3.125
466,4.61155653,0,4.465970993,3.125
467,4.631529808,0,4.483316422,0
468,4.628271103,0,4.291743279,6.25
469,4.662365913,3.125,4.483121395,0
470,4.608510971,0,4.639086246,3.125
471,4.636658669,0,4.283326626,6.25
472,4.66072464,0,4.967875957,3.125
473,4.567613602,3.125,4.585424423,3.125
474,4.616085529,3.125,4.360104084,3.125
475,4.603194714,0,4.374766827,6.25
476,4.541618347,0,4.381764412,6.25
477,4.618454933,0,4.448703766,6.25
478,4.624378204,0,4.280694485,0
479,4.588372231,0,4.272736073,0
480,4.574037552,0,4.447383881,0
481,4.61395359,3.125,4.353546619,0
482,4.697330475,0,4.378264427,0
483,4.601762295,0,4.39974165,0
484,4.594904423,3.125,4.412691116,0
485,4.651255608,0,4.402870655,0
486,4.596175194,0,4.57198,3.125
487,4.667191029,0,4.420461655,3.125
488,4.618008137,0,4.665001392,0
489,4.611286163,0,4.858253956,0
490,4.573821545,0,4.406821251,0
491,4.63616991,0,4.34685421,3.125
492,4.620871544,3.125,4.294039726,3.125
493,4.650800705,0,4.550465584,0
494,4.646936417,3.125,4.349493027,3.125
495,4.638644695,0,4.517531395,0
496,4.657885075,0,4.628743172,6.25
497,4.536929131,3.125,4.276304722,3.125
498,4.571550369,3.125,4.29387331,3.125
499,4.602530956,3.125,4.335562706,6.25
500,4.614909649,0,4.624386787,3.125
501,4.572288513,0,4.345653534,3.125
502,4.629837513,0,4.554220676,9.375
503,4.650097847,0,4.41190052,9.375
504,4.553749084,0,4.492004395,0
505,4.601130486,0,4.431874275,3.125
506,4.618136406,3.125,4.424228668,3.125
507,4.589930058,6.25,4.601878166,0
508,4.630702496,3.125,4.408432961,9.375
509,4.595737934,0,4.477844715,0
510,4.625948906,0,4.397825241,0
511,4.703800678,0,4.409874439,3.125
512,4.518783569,6.25,4.418562412,3.125
513,4.477071762,9.375,4.362323761,0
514,4.643689156,0,4.357720375,3.125
515,4.560686111,0,4.472249985,3.125
516,4.563703537,3.125,4.328951359,0
517,4.632000923,0,4.091329098,6.25
518,4.507733345,0,4.136016846,6.25
519,4.617059708,0,4.275201321,0
520,4.621531487,0,4.18233633,0
521,4.643109798,3.125,4.360140324,6.25
522,4.540881634,0,4.423811913,3.125
523,4.491115093,6.25,4.373303413,0
524,4.641746998,3.125,4.285061836,0
525,4.640244961,0,4.42275238,0
526,4.62892437,0,4.317564487,3.125
527,4.593529701,0,4.548608303,0
528,4.5773983,3.125,4.478341579,0
529,4.58732748,0,4.520241737,0
530,4.685609341,0,4.485965729,3.125
531,4.581767082,0,3.993771315,0
532,4.667334557,0,4.734792233,0
533,4.623024464,3.125,4.17766428,6.25
534,4.559270859,3.125,4.230780125,3.125
535,4.634702682,0,4.519814491,0
536,4.562504292,0,4.609762192,0
537,4.588205338,0,4.30096817,6.25
538,4.668385506,0,4.302351952,6.25
539,4.615986824,0,4.416818619,3.125
540,4.556433678,3.125,4.388288975,3.125
541,4.476756573,3.125,4.442222595,0
542,4.557900429,0,4.41161108,0
543,4.621131897,0,3.998500347,9.375
544,4.692772388,0,4.258670807,3.125
545,4.631316662,3.125,3.912724495,9.375
546,4.574478149,0,4.314256191,0
547,4.665355682,0,4.586325645,6.25
548,4.608931541,3.125,4.305527687,0
549,4.539885998,0,4.330915928,3.125
550,4.64342165,0,4.227230549,6.25
551,4.547338009,0,4.46336174,3.125
552,4.65602684,0,4.269882679,0
553,4.651064873,0,4.308284283,9.375
554,4.672858715,0,4.264136314,3.125
555,4.663555145,0,4.391982555,3.125
556,4.600204945,3.125,4.295248032,3.125
557,4.642166138,0,4.294945717,3.125
558,4.612458229,0,4.392260551,3.125
559,4.597568035,0,4.490204811,3.125
560,4.696893215,0,4.353888988,6.25
561,4.610860348,0,4.568826675,0
562,4.641096592,0,4.280574322,3.125
563,4.620642662,0,4.630322456,0
564,4.588067532,0,4.37920332,3.125
565,4.654172421,3.125,4.441734791,0
566,4.642529488,0,4.284505367,9.375
567,4.597820759,0,4.491537571,3.125
568,4.590123653,6.25,4.267895699,3.125
569,4.621337891,0,4.518886566,6.25
570,4.532177925,6.25,4.275856972,12.5
571,4.540359497,3.125,4.64981699,6.25
572,4.585722446,0,4.29473877,6.25
573,4.577051163,0,4.445898533,0
574,4.615843296,0,4.45842886,6.25
575,4.563460827,6.25,4.768247604,3.125
576,4.730185986,0,4.373921394,3.125
577,4.549753189,3.125,4.333829403,6.25
578,4.669762611,0,4.344789028,6.25
579,4.660505295,3.125,4.35122776,3.125
580,4.589236259,0,4.286457062,6.25
581,4.564771652,0,4.357960224,3.125
582,4.624151707,0,4.4089818,12.5
583,4.614741802,3.125,4.361459255,3.125
584,4.648756027,0,4.503461838,0
585,4.60645771,0,4.307781696,3.125
586,4.558594704,3.125,4.340334415,3.125
587,4.592769623,0,4.040890694,6.25
588,4.538392067,3.125,4.517255783,0
589,4.541894436,0,4.424428463,0
590,4.610017776,0,4.515617847,3.125
591,4.741107941,0,4.6451087,0
592,4.622644424,0,4.740270615,0
593,4.566493511,0,4.402880669,12.5
594,4.552433491,3.125,4.319878578,9.375
595,4.599541664,6.25,4.297643185,0
596,4.590309143,0,4.635242462,0
597,4.634832859,0,4.175296783,0
598,4.612552643,0,4.592426777,0
599,4.517499924,6.25,4.421448708,3.125
600,4.551398754,6.25,4.54580164,6.25
601,4.520402431,3.125,4.712142944,3.125
602,4.641114712,3.125,4.165114403,3.125
603,4.629020691,0,4.780807018,0
604,4.712691307,0,4.297554493,6.25
605,4.632515907,3.125,4.479671955,0
606,4.565363407,0,4.162296295,6.25
607,4.713424683,0,4.174295902,9.375
608,4.611990452,0,4.518509865,0
609,4.604556561,6.25,4.45866394,3.125
610,4.579182625,3.125,4.626845837,0
611,4.628953457,3.125,4.336009502,3.125
612,4.677656651,0,4.500139713,0
613,4.533436298,0,4.464447498,0
614,4.681437969,6.25,4.344835281,0
615,4.620857239,0,4.291795731,0
616,4.618425846,0,4.189689159,9.375
617,4.612781048,0,4.248892307,0
618,4.66694212,3.125,4.443006039,0
619,4.586504936,3.125,4.458321571,3.125
620,4.56474781,3.125,4.180997849,0
621,4.624696732,0,4.273382664,6.25
622,4.597801208,6.25,4.595983505,0
623,4.598360538,0,4.532110691,3.125
624,4.67018652,0,4.403120518,6.25
625,4.605606556,0,4.219945908,9.375
626,4.633707047,0,4.395980835,6.25
627,4.635981083,0,4.252906322,3.125
628,4.518495083,0,4.4799366,0
629,4.606903076,0,4.105146408,3.125
630,4.618963242,0,4.151143551,3.125
631,4.600409985,0,4.386207104,0
632,4.527004242,3.125,4.219938755,0
633,4.643857002,0,4.075865269,6.25
634,4.547624588,0,4.338413239,0
635,4.667407513,0,4.521171093,0
636,4.593143463,3.125,4.18295002,6.25
637,4.577976704,0,4.192766666,0
638,4.651173592,3.125,4.193432808,6.25
639,4.615501404,0,4.073051929,6.25
640,4.631497383,0,4.288849831,3.125
641,4.606207371,0,4.316142082,0
642,4.65536356,0,4.22355175,6.25
643,4.585150242,6.25,4.261959553,9.375
644,4.632295132,0,4.288443565,3.125
645,4.60232687,0,4.244767666,0
646,4.627370358,0,4.409392357,6.25
647,4.633503914,0,4.0796175,6.25
648,4.677126884,0,4.094191551,12.5
649,4.714686394,0,4.446597576,0
650,4.540864944,3.125,4.106684208,3.125
651,4.593499184,0,4.223986626,0
652,4.624658585,0,4.129676819,12.5
653,4.609558582,0,4.511162758,0
654,4.563508034,0,4.21037674,0
655,4.58625555,0,4.424971581,3.125
656,4.688279629,0,4.250440121,0
657,4.539642334,3.125,4.19696331,0
658,4.699985504,3.125,4.408951283,0
659,4.532355785,3.125,4.344861507,3.125
660,4.579510212,0,4.31406498,0
661,4.603568077,0,4.149609566,3.125
662,4.663631916,0,4.126765251,3.125
663,4.642538071,0,4.144598961,6.25
664,4.649532795,0,4.357551098,0
665,4.627307415,0,4.285243988,3.125
666,4.632198811,0,4.425835609,0
667,4.563141823,0,4.089738369,3.125
668,4.548993111,3.125,4.170343876,3.125
669,4.579695702,0,4.167285919,3.125
670,4.575675964,0,4.700517178,3.125
671,4.586533546,0,4.266956329,3.125
672,4.602760792,0,4.449876785,0
673,4.608778954,0,4.316144943,3.125
674,4.616697311,6.25,4.504802227,0
675,4.691750526,0,4.04921627,6.25
676,4.609549522,0,4.198991299,3.125
677,4.599159718,0,4.341046333,3.125
678,4.620377064,0,4.203918934,0
679,4.624306679,0,4.217660427,3.125
680,4.617889881,0,4.2042799,6.25
681,4.566556931,0,4.209552288,3.125
682,4.637342453,0,4.334148407,6.25
683,4.629650116,0,4.589771748,6.25
684,4.666707993,0,4.117771626,6.25
685,4.89750576,3.125,4.376599312,0
686,4.525314808,0,4.066943645,6.25
687,4.582269669,0,3.963781357,6.25
688,4.543539524,3.125,4.410383224,0
689,4.600161552,0,4.040120125,9.375
690,4.648301125,0,4.320724964,3.125
691,4.639947414,3.125,4.19619894,3.125
692,4.639689445,0,4.227772236,6.25
693,4.53372097,0,4.226637363,6.25
694,4.547252655,0,4.390282631,0
695,4.550180435,0,4.189191818,6.25
696,4.639682293,3.125,4.130010605,3.125
697,4.602273464,0,4.045415401,9.375
698,4.726325512,0,4.199470997,3.125
699,4.641124725,0,4.523814678,0
700,4.64424181,0,4.107948303,3.125
701,4.699065208,0,4.176321983,0
702,4.636246204,0,4.166194916,0
703,4.682713509,0,4.46513176,0
704,4.554570198,0,4.262667656,0
705,4.58048439,0,3.853057146,6.25
706,4.633167267,0,4.060272694,3.125
707,4.575839996,3.125,4.047352314,3.125
708,4.646897316,0,4.260248184,6.25
709,4.628835201,0,4.115149975,3.125
710,4.56748724,0,4.283288002,3.125
711,4.627049923,0,4.359687805,0
712,4.548980713,6.25,4.213293076,6.25
713,4.627033234,0,4.169586182,9.375
