epoch,train acc,test acc,train loss,test loss
0,0.04394,0.0708,4.298,3.96012
1,0.0998,0.1257,3.858,3.7538
2,0.13986,0.1564,3.606,3.37168
3,0.17268,0.1527,3.416,3.48184
4,0.19102,0.1956,3.303,3.23336
5,0.20608,0.1935,3.228,3.30064
6,0.22146,0.2308,3.149,3.15128
7,0.23132,0.2708,3.099,2.77616
8,0.24026,0.2335,3.054,3.25708
9,0.24518,0.2286,3.015,3.13164
